Provinsi/Kabupaten/Kota;laju_pertumbuhan;kepadatan_penduduk
ACEH;1,49;91
SUMATERA UTARA;1,23;203
SUMATERA BARAT;1,10;132
RIAU;2,08;73
JAMBI;1,39;71
SUMATERA SELATAN;1,32;92
BENGKULU;1,48;101
LAMPUNG;1,10;260
BANGKA BELITUNG;1,60;89
KEPULAUAN RIAU;3,48;252
KALIMANTAN BARAT;1,39;37
KALIMANTAN TENGAH;1,61;17
KALIMANTAN SELATAN;1,61;105
KALIMANTAN TIMUR;1,50;29
KALIMANTAN UTARA;2,25;9
SULAWESI UTARA;0,85;189
SULAWESI TENGAH;1,62;48
SULAWESI SELATAN;0,97;194
SULAWESI TENGGARA;1,75;69
GORONTALO;1,06;104
SULAWESI BARAT;1,66;85
MALUKU;0,99;39
MALUKU UTARA;1,69;40
PAPUA BARAT;2,69;11
PAPUA;1,61;13
